Sl_no,Project_partner,State,Location,CT_no,Latitude,Longitude,Altitude,Grid_no,CT_loc_ID,PA_name,Range,Beat,Nearest_village,Date_of_Deployment,Habitat_type
1,Policy Advocacy and Reasearch Centre (PARC),Tripura,Rowa,P5,24.292133,92.167567,60,1,ROWA CT1,Rowa,Panisagar,Rowa,Panisagar,31-01-2024,-
2,Policy Advocacy and Reasearch Centre (PARC),Tripura,Rowa,P3,24.292133,92.167567,60,2,ROWA CT1,Rowa,Panisagar,Rowa,Panisagar,31-01-2024,-
3,Policy Advocacy and Reasearch Centre (PARC),Tripura,Rowa,P13,24.292883,92.163617,49,3,ROWA CT2,Rowa,Panisagar,Rowa,Panisagar,31-01-2024,-
4,Policy Advocacy and Reasearch Centre (PARC),Tripura,Rowa,P16,24.292883,92.163617,49,4,ROWA CT2,Rowa,Panisagar,Rowa,Panisagar,31-01-2024,-
5,Policy Advocacy and Reasearch Centre (PARC),Tripura,Rowa,P21,24.294433,92.163483,60,5,ROWA CT3,Rowa,Panisagar,Rowa,Panisagar,31-01-2024,-
6,Policy Advocacy and Reasearch Centre (PARC),Tripura,Rowa,P2,24.294433,92.163483,60,6,ROWA CT3,Rowa,Panisagar,Rowa,Panisagar,31-01-2024,-
7,Policy Advocacy and Reasearch Centre (PARC),Tripura,Rowa,P19,24.291667,92.171233,63,7,ROWA CT4,Rowa,Panisagar,Rowa,Panisagar,31-01-2024,-
8,Policy Advocacy and Reasearch Centre (PARC),Tripura,Rowa,P12,24.291667,92.171233,63,8,ROWA CT4,Rowa,Panisagar,Rowa,Panisagar,31-01-2024,-
9,Policy Advocacy and Reasearch Centre (PARC),Tripura,Sepahijala,P3,23.660975,91.295192,6m,9,SEPCT1,Sepahijala,Sepahijala,Sepahijala,Sepahijala,12-02-2024,-
10,Policy Advocacy and Reasearch Centre (PARC),Tripura,Sepahijala,P21,23.660975,91.295192,6m,10,SEPCT1,Sepahijala,Sepahijala,Sepahijala,Sepahijala,12-02-2024,-
11,Policy Advocacy and Reasearch Centre (PARC),Tripura,Sepahijala,THT37,23.660836,91.295494,17,11,SEPCT2,Sepahijala,Sepahijala,Sepahijala,Sepahijala,12-02-2024,-
12,Policy Advocacy and Reasearch Centre (PARC),Tripura,Sepahijala,THT39,23.660836,91.295494,17,12,SEPCT2,Sepahijala,Sepahijala,Sepahijala,Sepahijala,12-02-2024,-
13,Policy Advocacy and Reasearch Centre (PARC),Tripura,Sepahijala,P16,23.664703,91.308469,36,13,SEPCT3,Sepahijala,Sepahijala,Sepahijala,Sepahijala,12-02-2024,-
14,Policy Advocacy and Reasearch Centre (PARC),Tripura,Sepahijala,P13,23.664703,91.308469,36,14,SEPCT3,Sepahijala,Sepahijala,Sepahijala,Sepahijala,12-02-2024,-
15,Policy Advocacy and Reasearch Centre (PARC),Tripura,Sepahijala,P19,23.678172,91.323581,41,15,SEPCT4,Sepahijala,Sepahijala,Sepahijala,Sepahijala,12-02-2024,-
16,Policy Advocacy and Reasearch Centre (PARC),Tripura,Sepahijala,P12,23.678172,91.323581,41,16,SEPCT4,Sepahijala,Sepahijala,Sepahijala,Sepahijala,12-02-2024,-
17,Policy Advocacy and Reasearch Centre (PARC),Tripura,Sepahijala,THT33,23.663956,91.304533,26,17,SEPCT5,Sepahijala,Sepahijala,Sepahijala,Sepahijala,12-02-2024,-
18,Policy Advocacy and Reasearch Centre (PARC),Tripura,Sepahijala,THT31,23.662808,91.309311,22,18,SEPCT6,Sepahijala,Sepahijala,Sepahijala,Sepahijala,13-02-2024,-
19,Policy Advocacy and Reasearch Centre (PARC),Tripura,Sepahijala,P2,23.662808,91.309311,22,19,SEPCT6,Sepahijala,Sepahijala,Sepahijala,Sepahijala,13-02-2024,-
20,Policy Advocacy and Reasearch Centre (PARC),Tripura,Sepahijala,P22,23.660058,91.328478,37,20,SEPCT7,Sepahijala,Sepahijala,Sepahijala,Betkuchi,13-02-2024,-
21,Policy Advocacy and Reasearch Centre (PARC),Tripura,Sepahijala,P7,23.660058,91.328478,37,21,SEPCT7,Sepahijala,Sepahijala,Sepahijala,Betkuchi,13-02-2024,-
22,Policy Advocacy and Reasearch Centre (PARC),Tripura,Sepahijala,P6,23.661433,91.305522,23,22,SEPCT8,Sepahijala,Sepahijala,Sepahijala,Sepahijala,13-02-2024,-
