Location,Camera trap no.,Latitude,Longitude,Altitude,Trap location,PA name,Range,Beat,Nearest village,Date of deployment
Rowa,P5,N 24°17.528',E 92°10.054',60m,ROWA CT1,Rowa,Panisagar,Rowa,Panisagar,31-Jan-24
Rowa,P3,N 24°17.528',E 92°10.054',60m,ROWA CT1,Rowa,Panisagar,Rowa,Panisagar,31-Jan-24
Rowa,P13,N 24°17.573',E 92°09.817',49m,ROWA CT2,Rowa,Panisagar,Rowa,Panisagar,31-Jan-24
Rowa,P16,N 24°17.573',E 92°09.817',49m,ROWA CT2,Rowa,Panisagar,Rowa,Panisagar,31-Jan-24
Rowa,P21,N 24° 17.666',E 92° 09.809',60m,ROWA CT3,Rowa,Panisagar,Rowa,Panisagar,31-Jan-24
Rowa,P2,N 24° 17.666',E 92° 09.809',60m,ROWA CT3,Rowa,Panisagar,Rowa,Panisagar,31-Jan-24
Rowa,P19,N 24° 17.500',E 92° 10.274',63m,ROWA CT4,Rowa,Panisagar,Rowa,Panisagar,31-Jan-24
Rowa,P12,N 24° 17.500',E 92° 10.274',63m,ROWA CT4,Rowa,Panisagar,Rowa,Panisagar,31-Jan-24
Sepahijala,P3,"N 23°39'39.51""","E 91°17'42.69""",6m,SEPCT1,Sepahijala,Sepahijala,Sepahijala,,12-Feb-24
Sepahijala,P21,"N 23°39'39.51""","E 91°17'42.69""",6m,SEPCT1,Sepahijala,Sepahijala,Sepahijala,,12-Feb-24
Sepahijala,THT37,"N 23°39'39.01""","E 91°17'43.78""",17m,SEPCT2,Sepahijala,Sepahijala,Sepahijala,,12-Feb-24
Sepahijala,THT39,"N 23°39'39.01""","E 91°17'43.78""",17m,SEPCT2,Sepahijala,Sepahijala,Sepahijala,,12-Feb-24
Sepahijala,P16,"N 23°39'52.93""","E 91°18'30.49""",36m,SEPCT3,Sepahijala,Sepahijala,Sepahijala,,12-Feb-24
