Location,Camera trap no.,Latitude,Longitude,Altitude,Trap location,PA name,Range,Beat,Nearest village,Date of deployment
Rowa,P5,24.292133,92.167567,60m,ROWA CT1,Rowa,Panisagar,Rowa,Panisagar,31-Jan-24
Rowa,P3,24.292133,92.167567,60m,ROWA CT1,Rowa,Panisagar,Rowa,Panisagar,31-Jan-24
Rowa,P13,24.292883,92.163617,49m,ROWA CT2,Rowa,Panisagar,Rowa,Panisagar,31-Jan-24
Rowa,P16,24.292883,92.163617,49m,ROWA CT2,Rowa,Panisagar,Rowa,Panisagar,31-Jan-24
Rowa,P21,24.294433,92.163483,60m,ROWA CT3,Rowa,Panisagar,Rowa,Panisagar,31-Jan-24
Rowa,P2,24.294433,92.163483,60m,ROWA CT3,Rowa,Panisagar,Rowa,Panisagar,31-Jan-24
Rowa,P19,24.291667,92.171233,63m,ROWA CT4,Rowa,Panisagar,Rowa,Panisagar,31-Jan-24
Rowa,P12,24.291667,92.171233,63m,ROWA CT4,Rowa,Panisagar,Rowa,Panisagar,31-Jan-24
Sepahijala,P3,23.660975,91.295192,6m,SEPCT1,Sepahijala,Sepahijala,Sepahijala,,12-Feb-24
Sepahijala,P21,23.660975,91.295192,6m,SEPCT1,Sepahijala,Sepahijala,Sepahijala,,12-Feb-24
Sepahijala,THT37,23.660836,91.295494,17m,SEPCT2,Sepahijala,Sepahijala,Sepahijala,,12-Feb-24
Sepahijala,THT39,23.660836,91.295494,17m,SEPCT2,Sepahijala,Sepahijala,Sepahijala,,12-Feb-24
Sepahijala,P16,23.664703,91.308469,36m,SEPCT3,Sepahijala,Sepahijala,Sepahijala,,12-Feb-24
Sepahijala,P13,23.664703,91.308469,36m,SEPCT3,Sepahijala,Sepahijala,Sepahijala,,12-Feb-24
Sepahijala,P19,23.678172,91.323581,41m,SEPCT4,Sepahijala,Sepahijala,Sepahijala,,12-Feb-24
Sepahijala,P12,23.678172,91.323581,41m,SEPCT4,Sepahijala,Sepahijala,Sepahijala,,12-Feb-24
Sepahijala,THT33,23.663956,91.304533,26m,SEPCT5,Sepahijala,Sepahijala,Sepahijala,,12-Feb-24
Sepahijala,THT31,23.662808,91.309311,22m,SEPCT6,Sepahijala,Sepahijala,Sepahijala,,13-Feb-24
Sepahijala,P2,23.662808,91.309311,22m,SEPCT6,Sepahijala,Sepahijala,Sepahijala,,13-Feb-24
Sepahijala,P22,23.660058,91.328478,37m,SEPCT7,Sepahijala,Sepahijala,Sepahijala,Betkuchi,13-Feb-24
Sepahijala,P7,23.660058,91.328478,37m,SEPCT7,Sepahijala,Sepahijala,Sepahijala,Betkuchi,13-Feb-24
Sepahijala,P6,23.661433,91.305522,23m,SEPCT8,Sepahijala,Sepahijala,Sepahijala,,13-Feb-24
Sepahijala,P5,23.661433,91.305522,23m,SEPCT8,Sepahijala,Sepahijala,Sepahijala,,13-Feb-24
Trishna WLS,THT17,23.290983,91.371228,60,TRSHCT01,Trishna WLS,Rangamura,Rajnagar,Kashari,21-Feb-24
Trishna WLS,THT24,23.290983,91.371228,60,TRSHCT01,Trishna WLS,Rangamura,Rajnagar,Kashari,21-Feb-24
Trishna WLS,THT28,23.269589,91.373814,44,TRSHCT02,Trishna WLS,Rangamura,Rajnagar,Durgapur,21-Feb-24
Trishna WLS,THT23,23.269589,91.373814,44,TRSHCT02,Trishna WLS,Rangamura,Rajnagar,Durgapur,21-Feb-24
Trishna WLS,THT26,23.2459,91.366464,52,TRSHCT03,Trishna WLS,Rangamura,Rajnagar,Prakashnagar,22-Feb-24
